Ticker,Name,Target,Definitive Agreement,Preliminary filing,First Revision,Second Revision,Third Revision,Definitive Filing,Merger Meeting,Expected Close,Investor Presentation
STIC,Northern Star Acquisition Corp,Barkbox,12/17/2020,,,,,,,Second Quarter 2021 (Q2),https://static1.squarespace.com/static/5fc915303436806905d7150e/t/5fdae20279e44d2bcf557f77/1608180228067/BARK-Overview-12162020.pdf
FSRV,FinServ Acquisition Corp,Katapult,12/18/2020,,,,,,,Second Quarter 2021 (Q2),https://finservacquisition.com/wp-content/uploads/2020/12/Project-Keys-Investor-Presentation_Dec-2020.pdf
DFHT,Deerfield Healthcare Technology Acquisitions Corp,CareMax,12/18/2020,1/20/2021,,,,,,First Quarter 2021,http://s21.q4cdn.com/483767183/files/doc_presentations/2020/07/2020.04.01-Intro-to-CarMax.pdf
CLA,Colonnade Acquisition Corp,Ouster,12/22/2020,12/22/2020,,,,,,First Half 2021,https://data.ouster.io/downloads/Ouster-investor-presentation_12222020.pdf
JIH,Juniper Industrial Holdings Inc,Janus International,12/22/2020,,,,,,,First Half 2021,https://sec.report/Document/0001193125-20-323834/d57084dex992.htm
ATAC,Altimar Acquisition Corporation,Blue Own Capital,12/23/2020,1/4/2021,,,,,,First Half 2021,https://sec.report/Document/0001193125-20-325370/d55795dex993.htm
FTIV,Fintech Acquisition Corp,Perella Weinberg,12/30/2020,,,,,,,Q2,https://pwpartners.com/wp-content/uploads/2020/12/PWP-Investor-Presentation_12.30.20.pdf
IPOE,Social Capital Hedosophia,SoFi,1/7/2021,,,,,,,Q1,https://www.dropbox.com/s/ffybqu77l1z4wxu/SoFi%20Investor%20Call%20Deck%20.pdf?dl=0
ACEV,Ace Convergence Acquisition Corp,Achronix,1/7/2021,,,,,,,Q2,https://www.achronix.com/sites/default/files/docs/Achronix_Ace_Merger_Presentation_VF.pdf
GXGX,GX Acquisition Corp,Celularity,1/8/2021,,,,,,,Q2,https://celularity.com/investor-relations/
VIH,VPC Impact Acquisition Holdings,Bakkt,1/11/2021,,,,,,,Q2,https://www.victoryparkcapital.com/wp-content/uploads/2021/01/Bakkt-Management-Presentation.pdf
ACTC,ArcLight Clean Transition Corp,Proterra,1/12/2021,,,,,,,Q2,https://www.proterra.com/wp-content/uploads/2021/01/ACTC-Proterra-Investor-Presentation.pdf
HEC,Hudson Executive Investment Corp,Talkspace,1/13/2021,,,,,,,Q2,https://assets.website-files.com/5ffcab1e683056d5c6862f12/5ffece868fe89543a673687d_Talkspace%20Investor%20Presentation.pdf
CRSA,Crescent Acquisition Corp,LiveVox,1/14/2021,,,,,,,Q2,https://crescentspac.com/assets/docs/2021-01-13%20LiveVox%20Investor%20Presentation.pdf
THCB,Tuscan Holdings,Microvast,1/31/2021,,,,,,,Q1,http://www.microvast.com/upload/2021/01/31/161215244093615yvm5.pdf
